"Model","Displ","Cyl","Trans","Drive","Fuel","Stnd","Class","APS","City_MPG","Hwy_MPG","Cmb_MPG","GGS","SM","Cmb_CO2","City_MPGe","Hwy_MPGe","Cmb_MPGe","Cmb_CO2e"
"AUDI Q3",2,4,"SemiAuto-8","4WD","Gasoline","T3B30","small SUV",7,19,27,22,4,"No",399,NA,NA,NA,NA
"AUDI Q5",2,4,"SemiAuto-7","4WD","Gasoline","L3ULEV70","small SUV",5,22,28,24,5,"No",364,NA,NA,NA,NA
"AUDI Q5",2,4,"SemiAuto-7","4WD","Gasoline","T3B70","small SUV",5,22,28,24,5,"No",364,NA,NA,NA,NA
"AUDI R8",5.2,10,"AMS-7","4WD","Gasoline","L3LEV160","small car",1,13,20,16,2,"No",556,NA,NA,NA,NA
"AUDI R8",5.2,10,"AMS-7","4WD","Gasoline","T3B160","small car",1,13,20,16,2,"No",556,NA,NA,NA,NA
"AUDI R8 Spyder",5.2,10,"AMS-7","4WD","Gasoline","L3LEV160","small car",1,13,20,16,2,"No",556,NA,NA,NA,NA
"AUDI R8 Spyder",5.2,10,"AMS-7","4WD","Gasoline","T3B160","small car",1,13,20,16,2,"No",556,NA,NA,NA,NA
"AUDI S3",2,4,"AMS-7","4WD","Gasoline","L3ULEV125","small car",3,22,29,25,5,"No",358,NA,NA,NA,NA
"AUDI S3",2,4,"AMS-7","4WD","Gasoline","T3B125","small car",3,22,29,25,5,"No",358,NA,NA,NA,NA
"AUDI TT Coupe",2,4,"AMS-7","4WD","Gasoline","L3SULEV30","small car",7,23,31,26,5,"No",340,NA,NA,NA,NA
"AUDI TT Coupe",2,4,"AMS-7","4WD","Gasoline","T3B30","small car",7,23,31,26,5,"No",340,NA,NA,NA,NA
"AUDI TT Roadster",2,4,"AMS-7","4WD","Gasoline","L3SULEV30","small car",7,23,31,26,5,"No",340,NA,NA,NA,NA
"AUDI TT Roadster",2,4,"AMS-7","4WD","Gasoline","T3B30","small car",7,23,31,26,5,"No",340,NA,NA,NA,NA
"AUDI TTS Coupe",2,4,"AMS-7","4WD","Gasoline","L3ULEV125","small car",3,23,29,25,5,"No",354,NA,NA,NA,NA
"AUDI TTS Coupe",2,4,"AMS-7","4WD","Gasoline","T3B125","small car",3,23,29,25,5,"No",354,NA,NA,NA,NA
"BENTLEY Bentayga",4,8,"SemiAuto-8","4WD","Gasoline","L3ULEV125","standard SUV",3,14,23,17,3,"No",508,NA,NA,NA,NA
"BENTLEY Bentayga",4,8,"SemiAuto-8","4WD","Gasoline","T3B125","standard SUV",3,14,23,17,3,"No",508,NA,NA,NA,NA
"BENTLEY Continental GT",4,8,"AMS-8","4WD","Gasoline","L3ULEV125","small car",3,16,26,19,3,"No",469,NA,NA,NA,NA
"BENTLEY Continental GT",4,8,"AMS-8","4WD","Gasoline","T3B125","small car",3,16,26,19,3,"No",469,NA,NA,NA,NA
"BENTLEY Continental GT Convertible",4,8,"AMS-8","4WD","Gasoline","L3ULEV125","small car",3,16,26,19,3,"No",469,NA,NA,NA,NA
"BENTLEY Continental GT Convertible",4,8,"AMS-8","4WD","Gasoline","T3B125","small car",3,16,26,19,3,"No",469,NA,NA,NA,NA
"BMW 230i Convertible",2,4,"SemiAuto-8","2WD","Gasoline","L3SULEV30","small car",7,23,34,27,6,"No",327,NA,NA,NA,NA
"BMW 230i Convertible",2,4,"SemiAuto-8","2WD","Gasoline","T3B30","small car",7,23,34,27,6,"No",327,NA,NA,NA,NA
"BMW 230i Coupe",2,4,"Man-6","2WD","Gasoline","L3SULEV30","small car",7,21,32,25,5,"No",356,NA,NA,NA,NA
"BMW 230i Coupe",2,4,"Man-6","2WD","Gasoline","T3B30","small car",7,21,32,25,5,"No",356,NA,NA,NA,NA
"BMW 230i Coupe",2,4,"SemiAuto-8","2WD","Gasoline","L3SULEV30","small car",7,24,32,27,6,"No",324,NA,NA,NA,NA
"BMW 230i Coupe",2,4,"SemiAuto-8","2WD","Gasoline","T3B30","small car",7,24,32,27,6,"No",324,NA,NA,NA,NA
"BMW 230i xDrive Convertible",2,4,"SemiAuto-8","4WD","Gasoline","L3SULEV30","small car",7,21,31,24,5,"No",361,NA,NA,NA,NA
"BMW 230i xDrive Convertible",2,4,"SemiAuto-8","4WD","Gasoline","T3B30","small car",7,21,31,24,5,"No",361,NA,NA,NA,NA
"BMW 230i xDrive Coupe",2,4,"SemiAuto-8","4WD","Gasoline","L3SULEV30","small car",7,21,31,24,5,"No",361,NA,NA,NA,NA
"BMW 230i xDrive Coupe",2,4,"SemiAuto-8","4WD","Gasoline","T3B30","small car",7,21,31,24,5,"No",361,NA,NA,NA,NA
"BMW 330i",2,4,"SemiAuto-8","2WD","Gasoline","L3SULEV30","small car",7,26,36,30,7,"Yes",299,NA,NA,NA,NA
"BMW 330i",2,4,"SemiAuto-8","2WD","Gasoline","T3B30","small car",7,26,36,30,7,"Yes",299,NA,NA,NA,NA
"BMW 330i",2,4,"SemiAuto-8","4WD","Gasoline","L3SULEV30","small car",7,25,34,28,6,"No",313,NA,NA,NA,NA
"BMW 330i",2,4,"SemiAuto-8","4WD","Gasoline","T3B30","small car",7,25,34,28,6,"No",313,NA,NA,NA,NA
"BMW 430i Convertible",2,4,"SemiAuto-8","2WD","Gasoline","L3SULEV30","small car",7,23,34,27,6,"No",327,NA,NA,NA,NA
"BMW 430i Convertible",2,4,"SemiAuto-8","2WD","Gasoline","T3B30","small car",7,23,34,27,6,"No",327,NA,NA,NA,NA
"BMW 430i Convertible",2,4,"SemiAuto-8","4WD","Gasoline","L3SULEV30","small car",7,22,32,26,5,"No",344,NA,NA,NA,NA
"BMW 430i Convertible",2,4,"SemiAuto-8","4WD","Gasoline","T3B30","small car",7,22,32,26,5,"No",344,NA,NA,NA,NA
"BMW 430i Coupe",2,4,"Man-6","2WD","Gasoline","L3SULEV30","small car",7,21,33,25,5,"No",351,NA,NA,NA,NA
"BMW 430i Coupe",2,4,"Man-6","2WD","Gasoline","T3B30","small car",7,21,33,25,5,"No",351,NA,NA,NA,NA
"BMW 430i Coupe",2,4,"SemiAuto-8","2WD","Gasoline","L3SULEV30","small car",7,23,34,27,6,"No",327,NA,NA,NA,NA
"BMW 430i Coupe",2,4,"SemiAuto-8","2WD","Gasoline","T3B30","small car",7,23,34,27,6,"No",327,NA,NA,NA,NA
"BMW 430i Coupe",2,4,"SemiAuto-8","4WD","Gasoline","L3SULEV30","small car",7,21,31,24,5,"No",361,NA,NA,NA,NA
"BMW 430i Coupe",2,4,"SemiAuto-8","4WD","Gasoline","T3B30","small car",7,21,31,24,5,"No",361,NA,NA,NA,NA
"BMW 430i Gran Coupe",2,4,"SemiAuto-8","2WD","Gasoline","L3SULEV30","small car",7,23,34,27,6,"No",327,NA,NA,NA,NA
"BMW 430i Gran Coupe",2,4,"SemiAuto-8","2WD","Gasoline","T3B30","small car",7,23,34,27,6,"No",327,NA,NA,NA,NA
"BMW 430i Gran Coupe",2,4,"SemiAuto-8","4WD","Gasoline","L3SULEV30","small car",7,21,31,24,5,"No",361,NA,NA,NA,NA
"BMW 430i Gran Coupe",2,4,"SemiAuto-8","4WD","Gasoline","T3B30","small car",7,21,31,24,5,"No",361,NA,NA,NA,NA
"BMW 440i Convertible",3,6,"SemiAuto-8","2WD","Gasoline","L3ULEV125","small car",3,22,29,24,5,"No",361,NA,NA,NA,NA
"BMW 440i Convertible",3,6,"SemiAuto-8","2WD","Gasoline","T3B125","small car",3,22,29,24,5,"No",361,NA,NA,NA,NA
"BMW 440i Convertible",3,6,"SemiAuto-8","4WD","Gasoline","L3ULEV125","small car",3,20,28,23,5,"No",394,NA,NA,NA,NA
"BMW 440i Convertible",3,6,"SemiAuto-8","4WD","Gasoline","T3B125","small car",3,20,28,23,5,"No",394,NA,NA,NA,NA
"BMW 440i Coupe",3,6,"Man-6","2WD","Gasoline","L3ULEV125","small car",3,19,27,22,4,"No",408,NA,NA,NA,NA
"BMW 440i Coupe",3,6,"Man-6","2WD","Gasoline","T3B125","small car",3,19,27,22,4,"No",408,NA,NA,NA,NA
"BMW 440i Coupe",3,6,"Man-6","4WD","Gasoline","L3ULEV125","small car",3,18,28,21,4,"No",412,NA,NA,NA,NA
"BMW 440i Coupe",3,6,"Man-6","4WD","Gasoline","T3B125","small car",3,18,28,21,4,"No",412,NA,NA,NA,NA
"BMW 440i Coupe",3,6,"SemiAuto-8","2WD","Gasoline","L3ULEV125","small car",3,22,30,25,5,"No",353,NA,NA,NA,NA
"BMW 440i Coupe",3,6,"SemiAuto-8","2WD","Gasoline","T3B125","small car",3,22,30,25,5,"No",353,NA,NA,NA,NA
"BMW 440i Coupe",3,6,"SemiAuto-8","4WD","Gasoline","L3ULEV125","small car",3,22,30,25,5,"No",356,NA,NA,NA,NA
"BMW 440i Coupe",3,6,"SemiAuto-8","4WD","Gasoline","T3B125","small car",3,22,30,25,5,"No",356,NA,NA,NA,NA
"BMW 440i Gran Coupe",3,6,"SemiAuto-8","2WD","Gasoline","L3ULEV125","small car",3,22,30,25,5,"No",353,NA,NA,NA,NA
"BMW 440i Gran Coupe",3,6,"SemiAuto-8","2WD","Gasoline","T3B125","small car",3,22,30,25,5,"No",353,NA,NA,NA,NA
"BMW 440i Gran Coupe",3,6,"SemiAuto-8","4WD","Gasoline","L3ULEV125","small car",3,22,30,25,5,"No",356,NA,NA,NA,NA
"BMW 440i Gran Coupe",3,6,"SemiAuto-8","4WD","Gasoline","T3B125","small car",3,22,30,25,5,"No",356,NA,NA,NA,NA
"BMW 530e",2,4,"SemiAuto-8","2WD","Gasoline/Electricity","L3SULEV30","small car",7,25,31,27,10,"Elite",170,65,75,69,NA
"BMW 530e",2,4,"SemiAuto-8","2WD","Gasoline/Electricity","T3B30","small car",7,25,31,27,10,"Elite",170,65,75,69,NA
"BMW 530e",2,4,"SemiAuto-8","4WD","Gasoline/Electricity","L3SULEV30","small car",7,23,29,25,10,"Elite",193,62,68,65,NA
"BMW 530e",2,4,"SemiAuto-8","4WD","Gasoline/Electricity","T3B30","small car",7,23,29,25,10,"Elite",193,62,68,65,NA
"BMW 530i",2,4,"SemiAuto-8","2WD","Gasoline","L3SULEV30","midsize car",7,25,33,28,6,"No",316,NA,NA,NA,NA
"BMW 530i",2,4,"SemiAuto-8","2WD","Gasoline","T3B30","midsize car",7,25,33,28,6,"No",316,NA,NA,NA,NA
"BMW 530i",2,4,"SemiAuto-8","4WD","Gasoline","L3SULEV30","midsize car",7,24,31,27,6,"No",332,NA,NA,NA,NA
"BMW 530i",2,4,"SemiAuto-8","4WD","Gasoline","T3B30","midsize car",7,24,31,27,6,"No",332,NA,NA,NA,NA
"BMW 540i",3,6,"SemiAuto-8","2WD","Gasoline","L3ULEV70","midsize car",5,22,30,25,5,"No",350,NA,NA,NA,NA
"BMW 540i",3,6,"SemiAuto-8","2WD","Gasoline","T3B70","midsize car",5,22,30,25,5,"No",350,NA,NA,NA,NA
"BMW 540i",3,6,"SemiAuto-8","4WD","Gasoline","L3ULEV70","midsize car",5,22,29,25,5,"No",359,NA,NA,NA,NA
"BMW 540i",3,6,"SemiAuto-8","4WD","Gasoline","T3B70","midsize car",5,22,29,25,5,"No",359,NA,NA,NA,NA
"BMW 740i",3,6,"SemiAuto-8","2WD","Gasoline","L3ULEV125","large car",3,22,29,24,5,"No",361,NA,NA,NA,NA
"BMW 740i",3,6,"SemiAuto-8","2WD","Gasoline","T3B125","large car",3,22,29,24,5,"No",361,NA,NA,NA,NA
"BMW 740i",3,6,"SemiAuto-8","4WD","Gasoline","L3ULEV125","large car",3,20,28,23,5,"No",394,NA,NA,NA,NA
"BMW 740i",3,6,"SemiAuto-8","4WD","Gasoline","T3B125","large car",3,20,28,23,5,"No",394,NA,NA,NA,NA
"BMW 745e",3,6,"SemiAuto-8","4WD","Gasoline/Electricity","L3ULEV125","large car",3,19,26,22,8,"No",245,52,61,56,NA
"BMW 745e",3,6,"SemiAuto-8","4WD","Gasoline/Electricity","T3B125","large car",3,19,26,22,8,"No",245,52,61,56,NA
"BMW 750i",4.4,8,"SemiAuto-8","4WD","Gasoline","L3ULEV125","large car",3,17,25,20,4,"No",449,NA,NA,NA,NA
"BMW 750i",4.4,8,"SemiAuto-8","4WD","Gasoline","T3B125","large car",3,17,25,20,4,"No",449,NA,NA,NA,NA
"BMW 840i Convertible",3,6,"SemiAuto-8","2WD","Gasoline","L3ULEV125","small car",3,22,29,24,5,"No",361,NA,NA,NA,NA
"BMW 840i Convertible",3,6,"SemiAuto-8","2WD","Gasoline","T3B125","small car",3,22,29,24,5,"No",361,NA,NA,NA,NA
"BMW 840i Coupe",3,6,"SemiAuto-8","2WD","Gasoline","L3ULEV125","small car",3,23,30,25,5,"No",347,NA,NA,NA,NA
"BMW 840i Coupe",3,6,"SemiAuto-8","2WD","Gasoline","T3B125","small car",3,23,30,25,5,"No",347,NA,NA,NA,NA
"BMW 840i Gran Coupe",3,6,"SemiAuto-8","2WD","Gasoline","L3ULEV125","midsize car",3,22,29,24,5,"No",361,NA,NA,NA,NA
"BMW 840i Gran Coupe",3,6,"SemiAuto-8","2WD","Gasoline","T3B125","midsize car",3,22,29,24,5,"No",361,NA,NA,NA,NA
"BMW 840i xDrive Convertible",3,6,"SemiAuto-8","4WD","Gasoline","L3ULEV125","small car",3,20,27,23,5,"No",388,NA,NA,NA,NA
"BMW 840i xDrive Convertible",3,6,"SemiAuto-8","4WD","Gasoline","T3B125","small car",3,20,27,23,5,"No",388,NA,NA,NA,NA
"BMW 840i xDrive Coupe",3,6,"SemiAuto-8","4WD","Gasoline","L3ULEV125","small car",3,21,27,23,5,"No",380,NA,NA,NA,NA
"BMW 840i xDrive Coupe",3,6,"SemiAuto-8","4WD","Gasoline","T3B125","small car",3,21,27,23,5,"No",380,NA,NA,NA,NA
"BMW 840i xDrive Gran Coupe",3,6,"SemiAuto-8","4WD","Gasoline","L3ULEV125","midsize car",3,20,27,23,5,"No",388,NA,NA,NA,NA
"BMW 840i xDrive Gran Coupe",3,6,"SemiAuto-8","4WD","Gasoline","T3B125","midsize car",3,20,27,23,5,"No",388,NA,NA,NA,NA
"BMW Alpina B7",4.4,8,"SemiAuto-8","4WD","Gasoline","L3ULEV125","large car",3,17,25,20,4,"No",450,NA,NA,NA,NA
"BMW Alpina B7",4.4,8,"SemiAuto-8","4WD","Gasoline","T3B125","large car",3,17,25,20,4,"No",450,NA,NA,NA,NA
"BMW M2 Competition",3,6,"AMS-7","2WD","Gasoline","L3ULEV125","small car",3,17,23,19,3,"No",471,NA,NA,NA,NA
"BMW M2 Competition",3,6,"AMS-7","2WD","Gasoline","T3B125","small car",3,17,23,19,3,"No",471,NA,NA,NA,NA
"BMW M2 Competition",3,6,"Man-6","2WD","Gasoline","L3ULEV125","small car",3,18,25,20,4,"No",440,NA,NA,NA,NA
"BMW M2 Competition",3,6,"Man-6","2WD","Gasoline","T3B125","small car",3,18,25,20,4,"No",440,NA,NA,NA,NA
"BMW M240i Convertible",3,6,"Man-6","2WD","Gasoline","L3ULEV125","small car",3,19,27,22,4,"No",408,NA,NA,NA,NA
"BMW M240i Convertible",3,6,"Man-6","2WD","Gasoline","T3B125","small car",3,19,27,22,4,"No",408,NA,NA,NA,NA
"BMW M240i Convertible",3,6,"SemiAuto-8","2WD","Gasoline","L3ULEV125","small car",3,22,30,25,5,"No",353,NA,NA,NA,NA
"BMW M240i Convertible",3,6,"SemiAuto-8","2WD","Gasoline","T3B125","small car",3,22,30,25,5,"No",353,NA,NA,NA,NA
"BMW M240i Convertible",3,6,"SemiAuto-8","4WD","Gasoline","L3ULEV125","small car",3,22,30,25,5,"No",356,NA,NA,NA,NA
"BMW M240i Convertible",3,6,"SemiAuto-8","4WD","Gasoline","T3B125","small car",3,22,30,25,5,"No",356,NA,NA,NA,NA
"BMW M240i Coupe",3,6,"Man-6","2WD","Gasoline","L3ULEV125","small car",3,19,27,22,4,"No",408,NA,NA,NA,NA
"BMW M240i Coupe",3,6,"Man-6","2WD","Gasoline","T3B125","small car",3,19,27,22,4,"No",408,NA,NA,NA,NA
"BMW M240i Coupe",3,6,"SemiAuto-8","2WD","Gasoline","L3ULEV125","small car",3,22,30,25,5,"No",353,NA,NA,NA,NA
"BMW M240i Coupe",3,6,"SemiAuto-8","2WD","Gasoline","T3B125","small car",3,22,30,25,5,"No",353,NA,NA,NA,NA
"BMW M240i Coupe",3,6,"SemiAuto-8","4WD","Gasoline","L3ULEV125","small car",3,22,30,25,5,"No",356,NA,NA,NA,NA
"BMW M240i Coupe",3,6,"SemiAuto-8","4WD","Gasoline","T3B125","small car",3,22,30,25,5,"No",356,NA,NA,NA,NA
"BMW M240i Coupe M Performance",3,6,"Man-6","2WD","Gasoline","L3ULEV125","small car",3,19,27,22,4,"No",408,NA,NA,NA,NA
"BMW M240i Coupe M Performance",3,6,"Man-6","2WD","Gasoline","T3B125","small car",3,19,27,22,4,"No",408,NA,NA,NA,NA
"BMW M240i Coupe M Performance",3,6,"SemiAuto-8","2WD","Gasoline","L3ULEV125","small car",3,22,30,25,5,"No",353,NA,NA,NA,NA
"BMW M240i Coupe M Performance",3,6,"SemiAuto-8","2WD","Gasoline","T3B125","small car",3,22,30,25,5,"No",353,NA,NA,NA,NA
